Datetime,Tweet Id,RetweetCount,Likes,Replies,Text,language,Username,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
2019-12-19 15:30:09+00:00,1207684553512560128,0,0,0,"CLIMATE SMART WATER GOVERNANCE SHARED ECOSYSTEM:_x000D_
Invite for  intercounty shared water ecosystem policy review workshop at Lukenya resort. Organized by Jesuit Hakimani Center;( A centre for social concern in Eastern Africa) 2018/2019. https://t.co/KzE8W8bCRg",en,EngnrKarimi,,,,,,,,,,,,,,,,,
2019-12-05 15:58:40+00:00,1202618297948260096,15,36,3,"READ: #OUTA says that; while universal health coverage is both a social + moral necessity for SA; the rights of #taxpayers who will fund the #NHI must also be protected._x000D_
Concern over the new taxes that will fund South Africaâ€™s NHI https://t.co/aHaEernwYI via @businesstechSA",en,OUTASA,,,,,,,,,,,,,,,,,
2019-12-01 14:36:11+00:00,1201147989152199936,1,8,1,"policital and social issues.  You wanna worry for a people? There are a lot more deserving of your ""concern"".  Places in Africa have no access to consistently clean water.  China is on the verge of a Cival War; the Middle East is in a constant state of destruction",en,goregirlfx,,,,,,,,,,,,,,,,,
2019-11-25 07:49:35+00:00,1198871336153730048,0,0,0,"@WalesRugby South Africa has MANY social ills._x000D_
Drugs and schools are a major concern. Most parents are in denial because their child will never be involve. Never!! The problem is that drugs in SA schools might not be a top 3 issue.",en,Slipcatch,,,,,,,,,,,,,,,,,
2019-11-21 22:00:30+00:00,1197635924617819904,0,4,0,Opposition weaknesses are relevant to the bigger concern about an ANC governmentâ€™s ability to lead South Africa decisively away from the social; economic and fiscal crisis.  https://t.co/KMVJyiCNrx,en,mailandguardian,,,,,,,,,,,,,,,,,
2019-11-18 10:17:15+00:00,1196371782636369920,1,1,0,@vcmcguire Yes; I know someone in South Africa who had this happen; and someone in the USA; and apparently it is a common concern in the Benelux countries; so parents don't readily disclose their own autism to social workers there.,en,ekverstania,,,,,,,,,,,,,,,,,
2019-11-12 16:08:48+00:00,1194285927578980096,0,0,0,"@chuks_okereke A huge concern for social sustainability._x000D_
_x000D_
The housing and energy sectors are on the frontline of this challenge._x000D_
_x000D_
Africa needs about 700;000000 houses to offset the housing deficit.  _x000D_
_x000D_
At this point; the era of short term fix and redundant policies should be phased out. https://t.co/mWbYHa0KXb",en,Onixray,,,,,,,,,,,,,,,,,
2019-11-05 16:26:24+00:00,1191753639569900032,0,0,0,@SitshelaN @misazimbabwe @SANGONeT @OSISA And in Africa 99% of media is state owned; which africans are your concern coz thanks to the International domains the suppressed africans have a voice via social media.,en,ChenyIsMyGirl,,,,,,,,,,,,,,,,,
2019-10-31 15:09:28+00:00,1189922342350309888,0,2,0,@ebohinson The professor is this interview makes emphasis on databanks social Responsibility concerns especially the concern for consumers and concern for the society in general stating its activities geared towards the development and the economic agenda better set on track in africa(ghana,en,OboyRichie8,,,,,,,,,,,,,,,,,
2019-10-24 07:23:50+00:00,1187268447283170048,4,10,9,"Malawi National Council of Sports has expressed concern with pictures circulating on social media showing Malawi national netball team players and officials eating a meal under some trees at Bellville in Cape Town; South Africa._x000D_
_x000D_
https://t.co/sfUkn37N2i https://t.co/soRBUYtEji",en,Times360Malawi,,,,,,,,,,,,,,,,,
