Datetime,Tweet Id,RetweetCount,Likes,Replies,Text,language,Username
2023-01-31 22:38:10+00:00,1620552043609096192,606,2423,247,"and Google Play Store: https://t.co/1Ve7GIBG0F

and of course, the open web: https://t.co/qXl9xrmtKE (one of many)",en,jack
2023-01-31 22:38:09+00:00,1620552041600000000,1960,7723,848,"a milestone for open protocols...

#nostr is now officially on the Apple App Store with @damusapp:
https://t.co/GQmvPE5nfX",en,jack
2023-01-02 01:13:43+00:00,1609719555827408897,64,263,45,@damusapp 👀,und,jack
2023-01-01 06:00:30+00:00,1609429338641793027,1481,16128,2274,pura vida,pt,jack
2022-12-30 19:05:37+00:00,1608902142924062722,37,84,13,@jb55 👀,und,jack
2022-12-29 06:11:20+00:00,1608344900361244672,394,2783,277,https://t.co/bBQhvGML79,zxx,jack
2022-12-29 01:17:20+00:00,1608270911639109639,43,145,21,@suhailsaqan Nice work,en,jack
2022-12-26 02:39:36+00:00,1607204454373249024,30,206,14,@NeilJacobs @CitizenBitcoin @VitalikButerin Yes,und,jack
2022-12-26 01:12:35+00:00,1607182555362779136,26,23,2,@real_avi_eth ~ &lt; 0 at this moment,en,jack
2022-12-25 23:46:11+00:00,1607160811470065664,21,32,2,@CourtMaggard @Astropin I understand and all good.,en,jack
2022-12-25 23:41:31+00:00,1607159635248664576,22,35,2,@rabble @csuwildcat @robwijers Yes. And docs point to scuttlebutt influence. Thanks for your work Rabble.,en,jack
